R0,k,k_label,generation_g,p_survive,p_survive_ultimate,frac_of_ultimate
4.0,0.2,0.2,5,0.33662250833504614,0.33528008913623397,1.004003873902177
4.0,0.2,0.2,6,0.33574233573163537,0.33528008913623397,1.00137868788031
4.0,0.2,0.2,7,0.33543947630995585,0.33528008913623397,1.0004753851447978
4.0,0.2,0.2,8,0.3353350733106202,0.33528008913623397,1.0001639947499652
4.0,0.2,0.2,9,0.3352990602418039,0.33528008913623397,1.0000565828576902
4.0,0.2,0.2,10,0.3352866350748436,0.33528008913623397,1.0000195237916647
4.0,0.2,0.2,11,0.33528234784178146,0.33528008913623397,1.000006736772092
4.0,0.2,0.2,12,0.3352808685179418,0.33528008913623397,1.0000023245690188
4.0,0.5,0.5,1,0.6666666666666667,0.5784648345913732,1.1524757025854462
4.0,0.5,0.5,2,0.6026402928804868,0.5784648345913732,1.041792442415607
4.0,0.5,0.5,3,0.5855266259585734,0.5784648345913732,1.0122078144511388
4.0,0.5,0.5,4,0.580564845144973,0.5784648345913732,1.003630316707295
4.0,0.5,0.5,5,0.5790926209474911,0.5784648345913732,1.0010852627827609
4.0,0.5,0.5,6,0.5786528020777961,0.5784648345913732,1.0003249419414677
4.0,0.5,0.5,7,0.5785211409099715,0.5784648345913732,1.00009733749613
4.0,0.5,0.5,8,0.5784817037136158,0.5784648345913732,1.0000291618802628
4.0,0.5,0.5,9,0.5784698887177471,0.5784648345913732,1.0000087371367654
4.0,0.5,0.5,10,0.5784663488678603,0.5784648345913732,1.0000026177502876
4.0,0.5,0.5,11,0.5784652882883652,0.5784648345913732,1.0000007843121395
4.0,0.5,0.5,12,0.5784649705250651,0.5784648345913732,1.0000002349904156
4.0,1,1,1,0.8,0.75,1.0666666666666667
4.0,1,1,2,0.7619047619047619,0.75,1.0158730158730158
4.0,1,1,3,0.7529411764705882,0.75,1.003921568627451
4.0,1,1,4,0.750733137829912,0.75,1.0009775171065494
4.0,1,1,5,0.7501831501831502,0.75,1.0002442002442002
4.0,1,1,6,0.7500457791613258,0.75,1.0000610388817677
4.0,1,1,7,0.7500114442664225,0.75,1.0000152590218967
4.0,1,1,8,0.7500028610338632,0.75,1.0000038147118175
4.0,1,1,9,0.7500007152564194,0.75,1.000000953675226
4.0,1,1,10,0.750000178813977,0.75,1.000000238418636
4.0,1,1,11,0.7500000447034862,0.75,1.0000000596046483
4.0,1,1,12,0.7500000111758711,0.75,1.0000000149011614
4.0,2,2,1,0.888888888888889,0.8660254037844386,1.0264004785593348
4.0,2,2,2,0.8704000000000001,0.8660254037844386,1.0050513486053008
4.0,2,2,3,0.8668793870164251,0.8660254037844386,1.0009860948977416
4.0,2,2,4,0.8661927577137458,0.8660254037844386,1.000193243672271
4.0,2,2,5,0.8660582246315979,0.8660254037844386,1.000037898249885
4.0,2,2,6,0.8660318414411114,0.8660254037844386,1.000007433565626
4.0,2,2,7,0.8660266665374651,0.8660254037844386,1.0000014581015995
4.0,2,2,8,0.8660256514761606,0.8660254037844386,1.0000002860097648
4.0,2,2,9,0.8660254523697568,0.8660254037844386,1.000000056101493
4.0,2,2,10,0.866025413314566,0.8660254037844386,1.0000000110044431
4.0,2,2,11,0.8660254056537962,0.8660254037844386,1.0000000021585482
4.0,2,2,12,0.8660254041511176,0.8660254037844386,1.0000000004234044
4.0,5,5,1,0.9470778505986553,0.9393267680181802,1.0082517424653283
4.0,5,5,2,0.9403894902329347,0.9393267680181802,1.0011313658366159
4.0,5,5,3,0.9394738109416166,0.9393267680181802,1.0001565407571071
4.0,5,5,4,0.9393471390569044,0.9393267680181802,1.0000216868500056
4.0,5,5,5,0.939329590671874,0.9393267680181802,1.0000030049752546
4.0,5,5,6,0.9393271591403792,0.9393267680181802,1.000000416385663
4.0,5,5,7,0.9393268222143731,0.9393267680181802,1.000000057696847
4.0,5,5,8,0.939326775527927,0.9393267680181802,1.0000000079948184
4.0,5,5,9,0.9393267690587754,0.9393267680181802,1.0000000011078096
4.0,5,5,10,0.9393267681623713,0.9393267680181802,1.0000000001535048
4.0,5,5,11,0.9393267680381602,0.9393267680181802,1.0000000000212705
