R0,k,k_label,extinction_prob,establishment_n1
3.3398496240601503,0.05,0.05,0.9051761721773179,0.09482382782268206
3.3543859649122805,0.05,0.05,0.9048875061675512,0.0951124938324488
3.368922305764411,0.05,0.05,0.9046003644536964,0.0953996355463036
3.3834586466165413,0.05,0.05,0.9043147319619076,0.09568526803809241
3.3979949874686715,0.05,0.05,0.9040305938351914,0.09596940616480865
3.412531328320802,0.05,0.05,0.9037479354293296,0.09625206457067037
3.4270676691729323,0.05,0.05,0.9034667423088965,0.09653325769110355
3.4416040100250624,0.05,0.05,0.9031870002433646,0.09681299975663538
3.456140350877193,0.05,0.05,0.902908695203305,0.09709130479669503
3.4706766917293232,0.05,0.05,0.9026318133566693,0.09736818664333069
3.4852130325814534,0.05,0.05,0.9023563410651609,0.09764365893483906
3.499749373433584,0.05,0.05,0.9020822648806843,0.09791773511931567
3.5142857142857142,0.05,0.05,0.9018095715418781,0.09819042845812187
3.5288220551378444,0.05,0.05,0.9015382479707232,0.09846175202927676
3.543358395989975,0.05,0.05,0.9012682812692288,0.09873171873077125
3.557894736842105,0.05,0.05,0.9009996587161901,0.09900034128380986
3.5724310776942354,0.05,0.05,0.9007323677640215,0.09926763223597845
3.586967418546366,0.05,0.05,0.9004663960356547,0.0995336039643453
3.601503759398496,0.05,0.05,0.9002017313215098,0.09979826867849018
3.6160401002506264,0.05,0.05,0.8999383615765304,0.1000616384234696
3.630576441102757,0.05,0.05,0.8996762749172826,0.10032372508271736
3.645112781954887,0.05,0.05,0.8994154596191195,0.1005845403808805
3.6596491228070174,0.05,0.05,0.8991559041134045,0.10084409588659549
3.6741854636591476,0.05,0.05,0.8988975969847968,0.10110240301520323
3.688721804511278,0.05,0.05,0.8986405269685924,0.10135947303140758
3.7032581453634084,0.05,0.05,0.898384682948125,0.10161531705187499
3.7177944862155385,0.05,0.05,0.898130053952219,0.10186994604778099
3.732330827067669,0.05,0.05,0.8978766291526996,0.10212337084730039
3.7468671679197993,0.05,0.05,0.8976243978619529,0.10237560213804708
3.7614035087719295,0.05,0.05,0.8973733495305387,0.10262665046946129
3.77593984962406,0.05,0.05,0.8971234737448528,0.1028765262551472
3.7904761904761903,0.05,0.05,0.8968747602248388,0.10312523977516119
3.8050125313283205,0.05,0.05,0.8966271988217458,0.1033728011782542
3.819548872180451,0.05,0.05,0.896380779515934,0.10361922048406602
3.8340852130325813,0.05,0.05,0.8961354924147256,0.10386450758527443
3.8486215538847115,0.05,0.05,0.8958913277502978,0.10410867224970222
3.863157894736842,0.05,0.05,0.8956482758776221,0.10435172412237792
3.8776942355889723,0.05,0.05,0.895406327272442,0.10459367272755804
